x,y
0.0,185.5316929890756
0.01,179.79919754462756
0.02,173.90435761093732
0.03,167.84787759066992
0.04,161.63061159937894
0.05,155.25356308007895
0.06,148.71788428331843
0.07,142.0248756131813
0.08,135.17598483976906
0.09,128.17280617883168
0.1,121.01707923933901
0.11,113.71068783990032
0.12,106.25565869505893
0.13,98.6541599726067
0.14,90.90849972317707
0.15,83.021124183493
0.16,74.99461595475752
0.17,66.83169205778925
0.18,58.53520186661383
0.19,50.108124922333644
0.2,41.55356862920537
0.21,32.87476583496023
0.22,24.075072297506992
0.23,15.157964040260083
0.24,6.127034598434847
0.25,-3.0140078412501055
0.26,-12.261343404925071
0.27,-21.611043597347816
0.28,-31.059074466385482
0.29,-40.60129986338934
0.3,-50.23348479656636
0.31,-59.95129887436528
0.32,-69.7503198358168
0.33,-79.6260371646866
0.34,-89.57385578422597
0.35,-99.58909982923129
0.36,-109.66701649205424
0.37,-119.8027799391381
0.38,-129.99149529459163
0.39,-140.22820268725144
0.4,-150.5078813576277
0.41,-160.82545382107062
0.42,-171.17579008345058
0.43,-181.55371190558924
0.44,-191.95399711264292
0.45,-202.3713839445934
0.46,-212.8005754439663
0.47,-223.23624387686354
0.48,-233.6730351833664
0.49,-244.105573453337
0.5,-254.52846542362732
0.51,-264.93630499268
0.52,-275.3236777484941
0.53,-285.6851655059142
0.54,-296.01535084919294
0.55,-306.3088216757723
0.56,-316.56017573722954
0.57,-326.76402517333145
0.58,-336.9150010351525
0.59,-347.0077577932164
0.6,-357.036977826639
0.61,-366.99737588926246
0.62,-376.883703548796
0.63,-386.69075359499794
0.64,-396.4133644129653
0.65,-406.04642431762505
0.66,-415.58487584556013
0.67,-425.0237200003351
0.68,-434.35802044753535
0.69,-443.5829076557724
0.7,-452.69358297996104
0.71,-461.6853226832217
0.72,-470.5534818938197
0.73,-479.29349849360983
0.74,-487.900896934516
0.75,-496.37129197963986
0.76,-504.70039236566197
0.77,-512.8840043832661
0.78,-520.918035372395
0.79,-528.7984971292183
0.8,-536.5215092217747
0.81,-544.0833022113343
0.82,-551.4802207766044
0.83,-558.7087267379997
0.84,-565.765401979278
0.85,-572.64695126394
0.86,-579.3502049438855
0.87,-585.8721215579112
0.88,-592.209790317742
0.89,-598.3604334793783
0.9,-604.3214085976558
0.91,-610.0902106620074
0.92,-615.6644741115357
0.93,-621.0419747276021
0.94,-626.2206314022551
0.95,-631.1985077809303
0.96,-635.9738137779644
0.97,-640.5449069635858
0.98,-644.9102938211529
0.99,-649.0686308735319
1.0,-653.018725677625
1.01,-656.7595376861698
1.02,-660.2901789760622
1.03,-663.6099148425632
1.04,-666.7181642588773
1.05,-669.6145002007114
1.06,-672.2986498355378
1.07,-674.7704945764136
1.08,-677.030070000327
1.09,-679.0775656311622
1.1,-680.9133245874973
1.11,-682.5378430955702
1.12,-683.9517698678695
1.13,-685.1559053479258
1.14,-686.1512008220024
1.15,-686.938757398499
1.16,-687.519824856007
1.17,-687.8958003610653
1.18,-688.0682270567901
1.19,-688.0387925236616
1.2,-687.80932711387
1.21,-687.3818021607328
1.22,-686.7583280648108
1.23,-685.941152258459
1.24,-684.9326570506564
1.25,-683.7353573540706
1.26,-682.3518982964118
1.27,-680.7850527182429
1.28,-679.0377185595054
1.29,-677.112916137129
1.3,-675.0137853161839
1.31,-672.7435825771325
1.32,-670.3056779818336
1.33,-667.7035520410362
1.34,-664.9407924861949
1.35,-662.0210909485203
1.36,-658.9482395482632
1.37,-655.7261273973093
1.38,-652.3587370182443
1.39,-648.8501406831148
1.4,-645.2044966751926
1.41,-641.4260454771111
1.42,-637.5191058888132
1.43,-633.4880710788091
1.44,-629.3374045723053
1.45,-625.0716361798213
1.46,-620.6953578699621
1.47,-616.2132195900681
1.48,-611.6299250385068
1.49,-606.9502273924151
1.5,-602.1789249947419
1.51,-597.3208570044777
1.52,-592.380899013984
1.53,-587.3639586373754
1.54,-582.2749710739218
1.55,-577.1188946504712
1.56,-571.9007063469006
1.57,-566.6253973086264
1.58,-561.2979683502138
1.59,-555.923425454131
1.6,-550.5067752687002
1.61,-545.0530206092959
1.62,-539.5671559668389
1.63,-534.0541630276284
1.64,-528.5190062085405
1.65,-522.9666282116112
1.66,-517.4019456020009
1.67,-511.82984441331945
1.68,-506.2551757842617
1.69,-500.6827516304782
1.7,-495.11734035557316
1.71,-489.5636626050824
1.72,-484.02638706725315
1.73,-478.5101263243944
1.74,-473.01943275853006
1.75,-467.55879451503296
1.76,-462.1326315278649
1.77,-456.74529160999623
1.78,-451.40104661251314
1.79,-446.1040886558648
1.8,-440.85852643663526
1.81,-435.66838161315223
1.82,-430.5375852731802
1.83,-425.46997448686886
1.84,-420.46928894804637
1.85,-415.53916770687545
1.86,-410.68314599679906
1.87,-405.9046521586223
1.88,-401.20700466449114
1.89,-396.59340924443006
1.9,-392.0669561180181
1.91,-387.63061733368033
1.92,-383.287244217979
1.93,-379.03956493718556
1.94,-374.89018217331807
1.95,-370.8415709167201
1.96,-366.8960763771547
1.97,-363.05591201528176
1.98,-359.3231576962723
1.99,-355.699757967211
2.0,-352.18752045981955
2.01,-348.78811441992457
2.02,-345.5030693649769
2.03,-342.3337738708168
2.04,-339.2814744887562
2.05,-336.3472747939429
2.06,-333.53213456583876
